,Auc_Base_price_pounds
35,189468.0
131,199440.0
98,99720.0
96,149580.0
47,99720.0
79,523530.0
39,19944.0
0,1396080.0
45,199440.0
42,797760.0
110,199440.0
143,19944.0
84,49860.0
167,49860.0
95,199440.0
9,99720.0
125,49860.0
77,822690.0
138,99720.0
24,49860.0
65,1520730.0
38,49860.0
105,772830.0
3,398880.0
156,49860.0
46,149580.0
71,29916.0
55,997200.0
44,199440.0
11,49860.0
124,74790.0
144,19944.0
33,239328.0
133,149580.0
120,398880.0
97,139608.0
99,74790.0
116,847620.0
94,259272.0
58,573390.0
107,548460.0
19,279216.0
22,109692.0
59,199440.0
112,94734.0
86,24930.0
171,573390.0
61,19944.0
92,648180.0
166,49860.0
152,1844820.0
43,722970.0
49,54846.0
14,19944.0
169,19944.0
148,1620450.0
30,319104.0
164,1595520.0
41,1221570.0
78,673110.0
100,74790.0
111,99720.0
159,598320.0
17,623250.0
104,1071990.0
134,149580.0
168,49860.0
13,19944.0
173,49860.0
106,698040.0
28,897480.0
29,623250.0
101,19944.0
32,239328.0
130,199440.0
155,74790.0
115,872550.0
12,19944.0
89,847620.0
157,239328.0
161,149580.0
123,149580.0
121,259272.0
162,59832.0
145,19944.0
25,19944.0
141,49860.0
126,19944.0
6,189468.0
31,299160.0
26,19944.0
90,797760.0
57,673110.0
147,19944.0
154,199440.0
153,822690.0
146,19944.0
2,438768.0
76,897480.0
53,19944.0
85,49860.0
51,19944.0
91,772830.0
87,19944.0
69,99720.0
129,199440.0
21,199440.0
27,997200.0
80,378936.0
142,49860.0
103,1071990.0
4,358992.0
67,299160.0
34,199440.0
74,1146780.0
48,59832.0
54,19944.0
160,49860.0
170,49860.0
127,19944.0
88,997200.0
66,822690.0
118,418824.0
50,39888.0
56,822690.0
117,648180.0
172,19944.0
7,189468.0
60,49860.0
23,64818.0
81,74790.0
73,19944.0
8,119664.0
72,19944.0
139,99720.0
140,99720.0
